OurLabID,Sample ID,d2H,Comment,sampleType,Band,Location,date,Time,Species,Band Size,RFID,L Leg,R Leg,Age,Sex,Mass,Fat,Bill Depth,Wing,Tail,Tarsus,Bander,Band String Permit,Notes,ID,decimalLatitude,decimalLongitude
G-64111,2441-20569c,-75.57,,Claw,2441-20569,Dutch John,2021-02-05T00:00:00Z,,BLRF,,,,,ASY,Female,,,,,,,,,,X2441.20569c,40.929955,-109.389239
G-64112,2441-20562c,-64.32,,Claw,2441-20562,Dutch John,2021-02-05T00:00:00Z,,BLRF,,,,,ASY,Female,,,,,,,,,,X2441.20562c,40.929955,-109.389239
G-64113,2441-20573c,-66.42,,Claw,2441-20573,Dutch John,2021-02-17T00:00:00Z,,BLRF,,3B00497951,,A,ASY,Male,,,,,,,,,,X2441.20573c,40.929955,-109.389239
G-64114,2441-20584c,-65.89,,Claw,2441-20584,Dutch John,2021-02-17T00:00:00Z,,BLRF,,3B00187B59,,A,ASY,Male,,,,,,,,,,X2441.20584c,40.929955,-109.389239
G-64115,2441-20609c,-63.28,,Claw,2441-20609,Dutch John,2021-02-24T00:00:00Z,,BLRF,,3B001904BD,,A,ASY,Female,,,,,,,,,,X2441.20609c,40.929955,-109.389239
G-64116,2441-20608c,-71.72,,Claw,2441-20608,Dutch John,2021-02-24T00:00:00Z,,BLRF,,3B0018DE1D,,A,ASY,Male,,,,,,,,,,X2441.20608c,40.929955,-109.389239
G-64117,2441-20625c,-56.87,,Claw,2441-20625,Dutch John,2021-02-24T00:00:00Z,,BLRF,,3B00190B58,,A,ASY,Male,,,,,,,,,,X2441.20625c,40.929955,-109.389239
G-64119,2441-20656c,-65.2,,Claw,2441-20656,Dutch John,2021-03-09T00:00:00Z,,BLRF,,3B001855A3,,A,ASY,Female,,,,,,,,,,X2441.20656c,40.929955,-109.389239
G-64120,2441-20654c,-60.48,,Claw,2441-20654,Dutch John,2021-03-09T00:00:00Z,,BLRF,,3B00189A36,,A,ASY,Male,,,,,,,,,,X2441.20654c,40.929955,-109.389239
G-64121,2441-20672c,-77.94,,Claw,2441-20672,Dutch John,2021-03-15T00:00:00Z,,BLRF,,3B00491EC0,,A,ASY,Female,,,,,,,,,,X2441.20672c,40.929955,-109.389239
G-64122,2441-20663c,-53.5,,Claw,2441-20663,Dutch John,2021-03-15T00:00:00Z,,BLRF,,3B0048DBAD,,A,ASY,Male,,,,,,,,,,X2441.20663c,40.929955,-109.389239
G-64123,2541-44378c,-74.62,,Claw,2541-44378,Alta Town Office,2021-03-19T00:00:00Z,,BLRF,,01103FB119,,A,ASY,Female,,,,,,,,,,X2541.44378c,40.590428,-111.63723
G-64124,2541-44369c,-60.36,,Claw,2541-44369,Alta Town Office,2021-03-19T00:00:00Z,,BLRF,,01103F3EE8,,A,ASY,Male,,,,,,,,,,X2541.44369c,40.590428,-111.63723
G-64125,2441-20673c,-67.27,,Claw,2441-20673,Dutch John,2021-03-23T00:00:00Z,,BLRF,,3B004AE858,,A,ASY,Male,,,,,,,,,,X2441.20673c,40.929955,-109.389239
G-64126,2261-06008c,-27.43,,Claw,2261-06008,Alta Town Office,2021-04-02T00:00:00Z,,BLRF,,01103FE786,,A,SY,Female,,,,,,,,,,X2261.06008c,40.590428,-111.63723
G-64127,2261-06015c,-17.29,,Claw,2261-06015,Alta Town Office,2021-04-02T00:00:00Z,,BLRF,,01103FE116,,A,ASY,Female,,,,,,,,,,X2261.06015c,40.590428,-111.63723
G-64128,2261-06004c,-17.8,,Claw,2261-06004,Alta Town Office,2021-04-02T00:00:00Z,,BLRF,,01103FE367,,A,SY,Male,,,,,,,,,,X2261.06004c,40.590428,-111.63723
G-64129,2261-06020c,-40.94,,Claw,2261-06020,Alta Town Office,2021-04-02T00:00:00Z,,BLRF,,01103FDD72,,A,SY,Male,,,,,,,,,,X2261.06020c,40.590428,-111.63723
G-64130,2261-06027c,-33.87,,Claw,2261-06027,Alta Town Office,2021-04-30T00:00:00Z,,BLRF,,01103FE5F7,,A,ASY,Female,,,,,,,,,,X2261.06027c,40.590428,-111.63723
G-64131,2261-06028c,-72.68,,Claw,2261-06028,Alta Town Office,2021-04-30T00:00:00Z,,BLRF,,01103F534D,,A,ASY,Female,,,,,,,,,,X2261.06028c,40.590428,-111.63723
G-64132,2261-06029c,-20.38,,Claw,2261-06029,Alta Town Office,2021-04-30T00:00:00Z,,BLRF,,01103F5CE5,,A,ASY,Female,,,,,,,,,,X2261.06029c,40.590428,-111.63723
G-64133,2261-06033c,-72.64,,Claw,2261-06033,Alta Town Office,2021-04-30T00:00:00Z,,BLRF,,01103FCB95,,A,SY,Male,,,,,,,,,,X2261.06033c,40.590428,-111.63723
